Loan_ID,Customer_ID,Loan_Type,Customer_Age,Gender,Employment_Type,Annual_Income,Credit_Score,Region,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Start_Date,Loan_End_Date,Monthly_EMI,Payments_Made,Payments_Missed,Days_Past_Due,Outstanding_Principal,Total_Interest_Paid,Payment_Status,Default_Flag,Collateral,Debt_to_Income,Loan_to_Income,Risk_Category,Origination_Channel,Customer_Segment,Prepayment_Eligible,Prepayment_Charge
LN000028,CUST01808,Home,28,Male,Salaried,1506608,650,Hyderabad,1751476,10.04,240,2025-05-19,2045-05-19 00:00:00,16945.69,15,0,0,1714955.83,217665.14,Current,0,Yes,0.1003,1.1625,Medium,Partner,Affluent,No,0
LN000029,CUST05579,Auto,59,Female,Salaried,767920,675,Delhi NCR,1704687,10.02,72,2026-01-31,2032-01-31 12:00:00,31598.9,6,0,0,1598308.49,83214.89,Current,0,Yes,0.5706,2.2199,High,Branch,Mass Market,Yes,1
LN000030,CUST05667,Personal,28,Male,Salaried,1072047,736,Hyderabad,655769,12.09,48,2025-05-07,2029-05-07 00:00:00,17297.47,15,0,0,483581.21,87274.26,Current,0,No,0.1633,0.6117,Medium,Digital,Mass Affluent,Yes,0
LN000031,CUST04214,Auto,28,Male,Professional,937748,735,Mumbai,1474442,12.51,72,2025-10-11,2031-10-11 12:00:00,29217.51,10,0,0,1329287.47,147020.55,Current,0,Yes,0.3273,1.5723,Medium,Partner,Mass Affluent,Yes,2
LN000032,CUST06778,Personal,54,Male,Salaried,612967,714,Bengaluru,314443,15.2,60,2024-08-13,2029-08-13 06:00:00,7513.5,24,0,0,216135.2,82016.27,Current,0,No,0.1399,0.513,Medium,Branch,Mass Market,Yes,1
LN000033,CUST01647,Personal,36,Male,Salaried,645738,695,Ahmedabad,556223,12.3,72,2025-04-24,2031-04-24 12:00:00,10961.26,15,0,0,471403.5,79599.33,Current,0,No,0.1864,0.8614,Medium,Branch,Mass Market,Yes,2
LN000034,CUST03971,Business,33,Female,Self-Employed,499729,684,Chennai,4777547,14.43,36,2025-07-02,2028-07-01 18:00:00,164286.18,13,0,1,3283944.45,642117.73,Current,0,Yes,0.75,9.5603,High,Branch,Mass Market,Yes,2
LN000035,CUST05004,Business,43,Male,Salaried,1039753,662,Pune,1045552,15.43,48,2023-03-10,2027-03-10 00:00:00,29328.86,41,0,0,195134.91,352066.15,Current,0,Yes,0.3128,1.0056,Medium,Digital,Mass Affluent,Yes,2
LN000036,CUST01256,Education,32,Male,Business Owner,813807,694,Jaipur,655315,10.79,84,2024-07-24,2031-07-24 18:00:00,11147.45,24,0,0,515214.56,127438.32,Current,0,No,0.2008,0.8052,Medium,Digital,Mass Affluent,Yes,2
LN000037,CUST00099,Personal,47,Male,Salaried,1051948,768,Mumbai,688250,13.24,48,2023-08-25,2027-08-25 00:00:00,18545.56,35,0,0,223457.49,184302.08,Current,0,No,0.2079,0.6543,Low,Digital,Mass Affluent,No,0
LN000038,CUST03539,Personal,42,Male,Self-Employed,684280,649,Delhi NCR,115816,15.41,24,2026-06-01,2028-05-31 12:00:00,5638.05,2,0,0,107460.9,2921.0,Current,0,No,0.0701,0.1693,High,Digital,Mass Market,Yes,3
LN000039,CUST00088,Auto,52,Male,Salaried,275362,568,Bengaluru,778725,12.71,72,2023-06-26,2029-06-25 12:00:00,15512.13,37,0,0,451699.27,246922.92,Current,0,Yes,0.6243,2.828,High,Branch,Mass Market,Yes,0
LN000040,CUST00290,Home,47,Female,Salaried,459766,669,Chennai,5868553,10.05,120,2025-05-17,2035-05-17 12:00:00,77704.25,15,0,0,5413910.97,710921.65,Current,0,Yes,0.75,12.7642,High,Digital,Mass Market,Yes,2
LN000041,CUST03402,Personal,22,Male,Business Owner,1051114,794,Ahmedabad,507525,11.38,72,2024-05-21,2030-05-21 12:00:00,9758.69,27,1,0,356123.5,112083.22,Current,0,No,0.0954,0.4828,Low,Branch,Mass Affluent,Yes,2
LN000042,CUST00604,Home,53,Female,Salaried,591490,688,Bengaluru,1254797,8.27,180,2025-05-28,2040-05-27 18:00:00,12188.42,14,0,0,1202953.93,118794.81,Current,0,Yes,0.2455,2.1214,Medium,Partner,Mass Market,Yes,0
LN000043,CUST04766,Personal,46,Male,Professional,1082605,711,Chennai,443622,10.48,48,2023-09-02,2027-09-02 00:00:00,11353.67,35,0,0,138956.21,92712.71,Current,0,No,0.1368,0.4098,Medium,Digital,Mass Affluent,Yes,1
LN000044,CUST01916,Business,48,Male,Salaried,1279338,714,Chennai,4580914,16.61,60,2025-08-09,2030-08-09 06:00:00,112892.03,12,0,0,3939796.2,713586.53,Current,0,Yes,0.75,3.5807,High,Branch,Mass Affluent,Yes,3
LN000045,CUST05789,Personal,39,Male,Business Owner,1015678,672,Mumbai,230151,9.92,36,2025-07-04,2028-07-03 18:00:00,7418.18,13,0,0,154792.01,21077.39,Current,0,No,0.106,0.2266,Medium,Digital,Mass Affluent,Yes,2
LN000046,CUST06847,Auto,25,Male,Professional,997287,784,Bengaluru,1452948,9.18,72,2026-03-21,2032-03-20 12:00:00,26317.65,5,0,15,1375742.21,54382.43,Current,0,Yes,0.31,1.4569,Low,Digital,Mass Affluent,Yes,2
LN000047,CUST01618,Personal,53,Female,Salaried,180000,697,Mumbai,786358,15.98,48,2025-09-01,2029-09-01 00:00:00,22278.95,11,0,0,647499.9,106210.35,Current,0,No,0.75,4.3687,High,Branch,Mass Market,No,0
LN000048,CUST00666,Home,40,Female,Business Owner,581013,769,Delhi NCR,4834661,7.88,180,2024-02-28,2039-02-27 18:00:00,45855.28,29,0,0,4385032.99,880175.15,Current,0,Yes,0.75,8.3211,High,Branch,Mass Market,No,0
LN000049,CUST00457,Home,50,Female,Salaried,648125,713,Bengaluru,3237842,7.86,300,2025-07-07,2050-07-07 06:00:00,24698.86,13,0,0,3190771.44,274014.64,Current,0,Yes,0.4793,4.9957,Medium,Direct Sales,Mass Market,Yes,3
LN000050,CUST03722,Personal,28,Female,Self-Employed,998725,715,Pune,356282,15.86,48,2024-07-06,2028-07-06 00:00:00,10072.29,25,0,0,198636.36,94161.62,Current,0,No,0.1342,0.3567,Medium,Digital,Mass Affluent,Yes,2
LN000051,CUST00451,Business,58,Male,Self-Employed,686447,653,Hyderabad,3247596,12.48,84,2024-10-15,2031-10-15 18:00:00,58167.38,22,0,0,2648142.76,680229.06,Current,0,Yes,0.75,4.731,High,Digital,Mass Market,No,0
LN000052,CUST02137,Education,37,Female,Salaried,317120,766,Chennai,175128,11.85,120,2023-02-12,2033-02-11 12:00:00,2497.2,42,0,0,135388.15,65142.41,Current,0,No,0.1368,0.5522,Low,Direct Sales,Mass Market,Yes,2
LN000053,CUST06255,Business,21,Female,Salaried,320603,700,Hyderabad,2898777,13.02,84,2023-04-13,2030-04-12 18:00:00,52767.94,40,1,0,1838368.49,1050309.23,Current,0,Yes,0.75,9.0416,High,Digital,Mass Market,Yes,2
LN000054,CUST02479,Business,23,Female,Self-Employed,515015,718,Delhi NCR,3890367,12.99,48,2026-01-14,2030-01-14 00:00:00,104347.79,7,0,0,3440299.81,280367.36,Current,0,Yes,0.75,7.5539,High,Digital,Mass Market,Yes,1
LN000055,CUST02830,Auto,46,Male,Business Owner,2362063,803,Jaipur,425104,9.18,60,2026-01-27,2031-01-27 06:00:00,8860.8,6,0,0,390792.72,18853.5,Current,0,Yes,0.0578,0.18,Low,Digital,Affluent,Yes,0
LN000056,CUST04728,Business,51,Male,Professional,743662,725,Delhi NCR,3027841,17.35,84,2024-02-19,2031-02-18 18:00:00,62488.55,30,0,1,2331189.31,1178004.8,Current,0,Yes,0.75,4.0715,High,Branch,Mass Market,Yes,2
LN000057,CUST05806,Personal,28,Male,Self-Employed,831096,720,Pune,468528,14.83,24,2023-01-17,2025-01-16 12:00:00,22679.93,24,0,0,0.0,75790.32,Current,0,No,0.3881,0.5637,Medium,Partner,Mass Affluent,Yes,2
LN000058,CUST01327,Personal,28,Male,Salaried,320347,764,Chennai,700331,11.08,36,2023-12-04,2026-12-03 18:00:00,22954.33,32,0,0,89736.47,123943.99,Current,0,No,0.75,2.1862,High,Partner,Mass Market,No,0
LN000059,CUST04731,Personal,55,Male,Business Owner,1103976,747,Jaipur,679675,14.59,48,2023-08-23,2027-08-23 00:00:00,18776.48,35,0,0,224517.93,202019.69,Current,0,No,0.1685,0.6157,Low,Branch,Mass Affluent,Yes,1
LN000060,CUST04929,Personal,59,Female,Business Owner,558139,685,Pune,129772,10.23,72,2024-11-23,2030-11-23 12:00:00,2418.94,20,0,0,101271.57,19878.4,Current,0,No,0.05,0.2325,Medium,Digital,Mass Market,Yes,2
LN000061,CUST05241,Home,48,Male,Salaried,1338344,678,Mumbai,4167588,9.07,120,2023-02-15,2033-02-14 12:00:00,52954.49,42,0,0,3111928.17,1168428.89,Current,0,Yes,0.4724,3.114,Medium,Partner,Mass Affluent,Yes,3
LN000062,CUST02637,Personal,24,Male,Salaried,357968,734,Mumbai,379943,11.28,60,2024-09-12,2029-09-12 06:00:00,8314.01,23,0,0,258806.51,70085.75,Current,0,No,0.2409,1.0614,Medium,Digital,Mass Market,Yes,0
LN000063,CUST01504,Education,36,Male,Business Owner,621366,680,Chennai,381007,11.68,48,2026-05-14,2030-05-14 00:00:00,9973.28,3,0,0,362027.34,10940.19,Current,0,No,0.2571,0.6132,Medium,Direct Sales,Mass Market,No,0
LN000064,CUST04151,Personal,33,Female,Business Owner,508511,712,Mumbai,422559,13.08,36,2024-10-26,2027-10-26 18:00:00,14253.54,21,0,0,196259.49,73024.91,Current,0,No,0.2634,0.831,Medium,Digital,Mass Market,Yes,2
LN000065,CUST01560,Personal,40,Male,Salaried,881660,641,Hyderabad,174979,15.95,72,2024-02-13,2030-02-12 12:00:00,3790.66,30,0,0,121403.44,60144.09,Current,0,No,0.05,0.1985,High,Branch,Mass Affluent,Yes,3
LN000066,CUST06396,Home,25,Female,Professional,1040385,803,Pune,3725736,9.26,240,2026-02-22,2046-02-22 00:00:00,34136.05,5,0,0,3698317.42,143261.65,Current,0,Yes,0.4342,3.5811,Medium,Direct Sales,Mass Affluent,Yes,3
LN000067,CUST04539,Personal,57,Female,Salaried,480450,675,Pune,769562,13.03,48,2026-05-26,2030-05-26 00:00:00,20656.06,2,1,1,744825.89,16576.0,Current,0,No,0.5206,1.6018,High,Partner,Mass Market,No,0
LN000068,CUST04520,Education,40,Female,Professional,956599,743,Ahmedabad,138815,10.82,36,2026-04-08,2029-04-07 18:00:00,4532.58,4,0,0,125511.18,4826.51,Current,0,No,0.0853,0.1451,Low,Partner,Mass Affluent,No,0
LN000069,CUST05856,Personal,44,Male,Salaried,1284337,745,Bengaluru,598938,14.99,48,2023-01-12,2027-01-12 00:00:00,16665.19,43,1,0,80292.53,197957.64,Current,0,No,0.1193,0.4663,Low,Digital,Mass Affluent,Yes,0
LN000070,CUST04090,Business,56,Male,Salaried,1040898,806,Hyderabad,1107059,10.12,84,2024-07-08,2031-07-08 18:00:00,18448.39,25,0,0,854685.57,208836.24,Current,0,Yes,0.1618,1.0636,Low,Digital,Mass Affluent,Yes,1
LN000071,CUST06998,Education,54,Female,Salaried,493529,728,Pune,1069912,9.87,48,2024-05-31,2028-05-31 00:00:00,27070.3,26,0,0,542726.38,176642.13,Current,0,No,0.6803,2.1679,High,Direct Sales,Mass Market,Yes,0
LN000072,CUST05844,Personal,54,Female,Business Owner,530313,688,Delhi NCR,761585,14.93,36,2025-04-01,2028-03-31 18:00:00,26374.5,16,0,0,464443.01,124850.06,Current,0,No,0.6141,1.4361,High,Partner,Mass Market,Yes,1
LN000073,CUST00787,Personal,39,Female,Salaried,586911,708,Jaipur,326718,12.35,36,2025-03-10,2028-03-09 18:00:00,10906.8,17,0,0,187351.54,46049.08,Current,0,No,0.2487,0.5567,Medium,Branch,Mass Market,Yes,2
LN000074,CUST02333,Education,37,Male,Business Owner,1023965,662,Pune,702737,7.25,120,2025-12-28,2035-12-28 12:00:00,8249.53,7,0,0,674189.49,29199.23,Current,0,No,0.0923,0.6863,Medium,Digital,Mass Affluent,Yes,0
LN000075,CUST05070,Auto,25,Male,Salaried,798647,783,Delhi NCR,834204,8.59,72,2025-06-18,2031-06-18 12:00:00,14866.87,14,0,0,703684.06,77616.24,Current,0,Yes,0.284,1.0445,Low,Direct Sales,Mass Market,Yes,1
LN000076,CUST06206,Auto,45,Male,Business Owner,355355,693,Hyderabad,792605,12.47,36,2026-02-06,2029-02-05 18:00:00,26503.82,6,0,7,680110.94,46528.88,Current,0,Yes,0.75,2.2305,High,Digital,Mass Market,Yes,1
LN000077,CUST00451,Education,38,Female,Salaried,645034,807,Delhi NCR,356725,8.09,48,2025-09-17,2029-09-17 00:00:00,8723.68,11,0,0,284825.88,24061.36,Current,0,No,0.189,0.553,Low,Branch,Mass Market,Yes,0
LN000078,CUST06735,Personal,28,Female,Salaried,1425224,674,Mumbai,427814,10.72,36,2026-06-23,2029-06-22 18:00:00,13950.32,1,0,0,417687.06,3823.38,Current,0,No,0.1332,0.3002,Medium,Branch,Mass Affluent,Yes,2
LN000079,CUST06447,Personal,47,Male,Salaried,1043338,850,Hyderabad,167067,11.53,48,2025-10-14,2029-10-14 00:00:00,4360.81,10,0,15,138284.64,14825.73,Current,0,No,0.05,0.1601,Low,Branch,Mass Affluent,Yes,2
LN000080,CUST05317,Personal,35,Male,Salaried,487154,672,Pune,171244,10.22,36,2026-05-17,2029-05-16 18:00:00,5542.88,3,0,0,158883.96,4268.6,Current,0,No,0.1535,0.3515,Medium,Branch,Mass Market,No,0
LN000081,CUST00365,Business,33,Male,Self-Employed,310977,670,Hyderabad,3125822,10.43,24,2026-05-25,2028-05-24 12:00:00,144856.62,2,0,0,2889404.02,53295.26,Current,0,Yes,0.75,10.0516,High,Digital,Mass Market,Yes,2
LN000082,CUST04598,Auto,36,Female,Salaried,511557,675,Mumbai,599531,12.86,36,2024-02-02,2027-02-01 18:00:00,20160.54,30,0,0,116552.26,121837.38,Current,0,Yes,0.5068,1.172,High,Partner,Mass Market,Yes,2
LN000083,CUST04627,Personal,42,Male,Salaried,648946,673,Jaipur,254578,11.62,48,2025-09-03,2029-09-03 00:00:00,6656.55,11,0,0,206173.2,24817.26,Current,0,No,0.0987,0.3923,Medium,Digital,Mass Market,Yes,2
LN000084,CUST03523,Personal,40,Male,Salaried,533541,730,Hyderabad,403257,13.58,48,2023-07-07,2027-07-07 00:00:00,10934.17,37,0,0,112496.01,113803.13,Current,0,No,0.2805,0.7558,Medium,Digital,Mass Market,Yes,1
LN000085,CUST05200,Personal,33,Male,Salaried,405759,665,Jaipur,52360,15.5,60,2024-04-07,2029-04-07 06:00:00,1259.55,28,0,0,32841.23,15748.69,Current,0,No,0.05,0.129,Medium,Branch,Mass Market,Yes,1
LN000086,CUST00142,Personal,40,Male,Salaried,861097,647,Delhi NCR,147960,16.34,60,2024-12-29,2029-12-29 06:00:00,3625.06,19,0,0,113313.56,34229.67,Current,0,No,0.0622,0.1718,High,Digital,Mass Affluent,Yes,1
LN000087,CUST06542,Auto,22,Female,Salaried,206392,660,Delhi NCR,1143802,11.94,48,2023-02-20,2027-02-20 00:00:00,30088.38,42,0,0,174405.27,294315.43,Current,0,Yes,0.75,5.5419,High,Partner,Mass Market,No,0
LN000088,CUST04695,Auto,55,Female,Self-Employed,1113460,821,Jaipur,705390,13.25,36,2024-02-01,2027-01-31 18:00:00,23852.69,30,0,0,137743.84,147934.39,Current,0,Yes,0.2131,0.6335,Low,Digital,Mass Affluent,Yes,1
LN000089,CUST00454,Business,39,Female,Salaried,933874,648,Delhi NCR,837373,13.39,24,2023-08-15,2025-08-14 12:00:00,39963.09,24,0,0,0.0,121741.06,Current,0,Yes,0.4781,0.8967,High,Branch,Mass Affluent,Yes,2
LN000090,CUST03708,Home,57,Female,Self-Employed,797848,720,Jaipur,5153251,9.87,240,2023-04-14,2043-04-14 00:00:00,49282.3,40,0,0,4827880.62,1645921.6,Current,0,Yes,0.75,6.4589,High,Digital,Mass Market,Yes,0
LN000091,CUST06846,Personal,26,Male,Salaried,865189,660,Jaipur,141501,16.06,72,2023-01-30,2029-01-29 12:00:00,3074.34,42,0,0,75550.15,63171.62,Current,0,No,0.0797,0.1635,Medium,Branch,Mass Affluent,No,0
LN000092,CUST02507,Auto,34,Female,Salaried,567164,735,Mumbai,1437047,8.77,72,2023-07-29,2029-07-28 12:00:00,25736.82,36,0,0,812121.7,301600.28,Current,0,Yes,0.5233,2.5337,High,Digital,Mass Market,Yes,2
LN000093,CUST02576,Education,24,Female,Business Owner,641594,719,Pune,456759,8.75,60,2025-01-30,2030-01-30 06:00:00,9425.35,18,0,0,339954.94,52852.26,Current,0,No,0.17,0.7119,Medium,Digital,Mass Market,Yes,2
LN000094,CUST06249,Auto,42,Female,Professional,1316179,801,Mumbai,694315,12.2,72,2024-08-01,2030-08-01 12:00:00,13646.77,24,0,7,516282.42,149489.93,Current,0,Yes,0.0778,0.5275,Low,Branch,Mass Affluent,No,0
LN000095,CUST02368,Education,59,Male,Salaried,604230,686,Chennai,620548,8.73,84,2025-05-06,2032-05-05 18:00:00,9900.47,15,0,0,535541.95,63501.04,Current,0,No,0.2335,1.027,Medium,Direct Sales,Mass Market,No,0
LN000096,CUST06314,Home,56,Female,Salaried,781638,733,Chennai,3377218,7.55,240,2025-12-03,2045-12-03 00:00:00,27312.25,8,0,0,3327649.89,168929.92,Current,0,Yes,0.4546,4.3207,Medium,Digital,Mass Market,No,0
LN000097,CUST01855,Home,54,Female,Salaried,837064,767,Chennai,5888860,9.92,120,2024-11-26,2034-11-26 12:00:00,77564.58,20,0,0,5263604.75,926036.28,Current,0,Yes,0.75,7.0351,High,Branch,Mass Affluent,Yes,2
LN000098,CUST02816,Home,47,Male,Business Owner,683720,690,Mumbai,3215327,7.99,240,2025-06-21,2045-06-21 00:00:00,26882.62,14,0,0,3135447.3,296476.92,Current,0,Yes,0.4075,4.7027,Medium,Branch,Mass Market,Yes,2
LN000099,CUST05639,Personal,27,Male,Self-Employed,586528,722,Delhi NCR,520069,11.75,24,2026-05-31,2028-05-30 12:00:00,24419.83,2,0,0,481221.43,9992.09,Current,0,No,0.5621,0.8867,High,Partner,Mass Market,No,0
LN000100,CUST01162,Personal,23,Female,Business Owner,281066,627,Ahmedabad,469237,15.87,24,2024-03-28,2026-03-28 12:00:00,22947.07,24,0,0,0.0,81492.67,Current,0,No,0.75,1.6695,High,Direct Sales,Mass Market,Yes,2
LN000101,CUST05185,Personal,53,Female,Salaried,961531,735,Mumbai,160007,10.96,48,2024-04-01,2028-04-01 00:00:00,4132.51,28,0,0,75227.01,30930.4,Current,0,No,0.0588,0.1664,Medium,Branch,Mass Affluent,Yes,3
LN000102,CUST01627,Auto,22,Male,Self-Employed,1090430,720,Hyderabad,853792,12.97,36,2024-03-24,2027-03-24 18:00:00,28756.85,28,0,0,219253.93,170653.81,Current,0,Yes,0.295,0.783,Medium,Branch,Mass Affluent,Yes,2
LN000103,CUST01297,Personal,36,Male,Self-Employed,673073,668,Ahmedabad,333364,12.46,60,2023-01-19,2028-01-19 06:00:00,7492.85,43,0,0,116220.67,105049.4,Current,0,No,0.114,0.4953,Medium,Partner,Mass Market,Yes,2
LN000104,CUST05987,Home,45,Male,Salaried,1180583,642,Hyderabad,2185428,10.25,300,2026-04-07,2051-04-07 06:00:00,20252.26,4,0,0,2179038.46,74619.49,Current,0,Yes,0.2064,1.8511,High,Branch,Mass Affluent,No,0
LN000105,CUST00844,Business,35,Male,Salaried,780026,695,Pune,3588109,17.01,24,2023-09-04,2025-09-03 12:00:00,177429.78,24,0,0,0.0,670205.67,Current,0,Yes,0.75,4.6,High,Partner,Mass Market,Yes,2
LN000106,CUST00224,Personal,44,Female,Salaried,253609,645,Jaipur,92536,12.41,72,2026-01-24,2032-01-24 12:00:00,1828.73,6,0,0,87166.86,5603.22,Current,0,No,0.0621,0.3649,High,Partner,Mass Market,Yes,2
LN000107,CUST04650,Home,35,Male,Business Owner,391809,715,Jaipur,4601939,10.27,180,2023-03-07,2038-03-06 18:00:00,50203.15,41,0,0,4072511.4,1528901.5,Current,0,Yes,0.75,11.7454,High,Digital,Mass Market,Yes,0
LN000108,CUST06816,Education,51,Male,Professional,514012,744,Bengaluru,212885,10.48,60,2024-02-05,2029-02-04 06:00:00,4573.62,30,0,0,120247.69,44571.18,Current,0,No,0.0801,0.4142,Low,Branch,Mass Market,Yes,3
